,Name,Club_Position,Height,Weight
767,Bruno,defensa,185,86
769,Nicolai Jørgensen,ataque,190,86
770,John Guidetti,ataque,185,79
771,Bruno Martins Indi,defensa,185,80
775,Rogelio Funes Mori,ataque,184,81
777,Mexer,defensa,185,78
778,Enzo Pérez,central,177,71
779,Teófilo Gutiérrez,ataque,178,82
780,Dorlan Pabón,ataque,168,73
783,Sergi Enrich,ataque,181,77
784,Hernán Pérez,central,180,77
785,Thomas Delaney,central,182,71
786,Davy Pröpper,central,185,72
787,Cenk Tosun,ataque,183,78
790,Allan Nyom,defensa,189,81
791,Kevin Vogt,defensa,194,85
793,Lamine Sané,defensa,192,77
795,Fredy Montero,ataque,176,73
796,Celso Borges,central,184,82
797,Michail Antonio,central,180,79
801,Muniain,ataque,169,63
805,Miguel Lopes,defensa,182,83
807,Rochina,ataque,182,76
808,Omar El Kaddouri,ataque,185,74
809,Denis Glushakov,central,182,82
810,Carlos Zambrano,defensa,185,83
818,Joe Allen,ataque,168,62
819,Romain Thomas,defensa,193,84
820,Mehdi Carcela-González,central,176,67
821,Sandro Wagner,ataque,194,87
822,Pablo Piatti,central,163,63
823,Eric Maxim Choupo-Moting,central,191,91
824,Sebastian Langkamp,defensa,191,85
825,Neven Subotić,defensa,191,83
827,Raúl Bobadilla,ataque,181,88
828,Troy Deeney,ataque,183,90
831,Andy Carroll,ataque,191,79
833,Marek Suchý,defensa,183,76
837,Ruud Vormer,central,178,81
838,Etienne Capoue,central,190,87
839,Paul Baysse,defensa,187,85
844,Adrián Ramos,ataque,185,74
847,Pedro León,central,183,73
848,Zlatko Junuzović,central,172,69
850,Victor Moses,central,177,85
851,Zurutuza,central,186,78
853,Lasse Schøne,central,176,75
856,Steven Defour,central,175,72
857,Diego Buonanotte,ataque,161,57
859,Jack Cork,central,185,69
862,Salvatore Bocchetti,defensa,186,86
863,Ignazio Abate,defensa,180,73
864,Rasmus Elm,central,184,75
865,Marco Ruben,ataque,178,75
866,Jakub Błaszczykowski,defensa,176,77
867,Adriano,defensa,172,75
869,Oleksandr Kucher,defensa,184,77
870,Karim El Ahmadi,central,179,78
871,Javi García,central,186,82
872,David Abraham,defensa,188,83
874,Fabio Quagliarella,ataque,180,79
875,Jurado,ataque,174,76
877,Christian Gentner,central,189,81
878,Laurent Ciman,defensa,184,70
881,Per Ciljan Skjelbred,central,175,74
883,Mark Noble,central,180,76
885,Christophe Jallet,defensa,178,70
887,Soldado,ataque,180,74
888,Oscar Wendt,defensa,181,82
889,Gökhan Gönül,defensa,175,75
893,Vágner Love,ataque,171,72
894,Robert Huth,defensa,191,88
896,Martín Demichelis,defensa,184,78
897,Selçuk İnan,central,182,74
899,Sergey Ignashevich,defensa,187,84
904,Claudio Pizarro,ataque,184,84
905,César Navas,defensa,197,88
906,Alessandro Gamberini,defensa,185,80
910,Formosandrinho,ataque,178,72
911,Sidney Pessinho,central,187,85
912,Everticinho,defensa,176,75
913,Louri Beretta,ataque,188,83
914,Claudio Coíntra,ataque,174,71
915,Maikel Catarino,defensa,177,75
916,Ronaldo Esler,defensa,168,65
917,Gazzolisco,defensa,186,73
919,Mauricio Lemos,defensa,187,80
920,Dalbert,defensa,181,70
921,Lorenzo Pellegrini,central,186,77
922,Yeray,defensa,183,78
924,Pablo Fornals,ataque,178,67
925,Marcos Llorente,central,183,71
927,Nadiem Amiri,central,180,72
928,Vincent Koziello,central,168,58
929,Vallejo,defensa,183,74
930,Şener Özbayraklı,defensa,171,71
932,Malcom,ataque,171,71
933,Rick Karsdorp,defensa,184,80
934,Dani Ceballos,central,176,65
935,Hirving Lozano,ataque,174,63
938,Alessandro Schöpf,central,178,75
939,Davinson Sánchez,defensa,187,79
940,Matias Vecino,central,187,81
942,Sandro,ataque,175,71
943,Wesley Hoedt,defensa,188,77
946,Youri Tielemans,central,177,75
949,Silvan Widmer,defensa,183,81
950,Gino Peruzzi,defensa,178,74
951,Pablo Pérez,central,179,71
952,Darío Benedetto,ataque,178,75
953,Iván Marcone,central,183,83
954,Matías Kranevitter,central,179,75
955,Emmanuel Mas,defensa,183,73
959,Sardar Azmoun,ataque,186,79
960,Alan Ruiz,ataque,183,75
961,Diego Rolán,ataque,176,71
964,Anderson Talisca,ataque,191,80
965,Bruno Fernandes,ataque,179,75
966,Roberto Gagliardini,central,188,77
967,Kerem Demirbay,central,185,80
968,Nicolás Tagliafico,defensa,172,67
969,Pablo De Blasis,central,165,65
970,Carles Gil,central,170,65
971,Luca Zuffi,central,180,70
972,Juan Fernando Quintero,ataque,169,64
973,Jonny,defensa,175,70
975,Alexander Szymanowski,central,174,69
976,Jhon Córdoba,ataque,185,85
979,Sam Larsson,ataque,180,76
982,Gabriel,ataque,184,80
983,Gerard Moreno,ataque,180,75
984,Erik Durm,central,183,72
985,Tobias Strobl,central,188,77
986,Marçal,defensa,178,72
988,Roberto Torres,ataque,178,72
991,Serge Gnabry,central,173,73
992,Jetro Willems,defensa,170,75
994,Zouhair Feddal,defensa,190,78
995,Sébastien Haller,ataque,190,88
996,Lucas Castro,central,180,80
997,Luís Hernández,defensa,182,74
998,Marcelo,defensa,182,74
999,Benjamin Mendy,defensa,185,85
1000,Willi Orban,defensa,186,82
1001,Rubén Pardo,central,182,68
1002,Luís Neto,defensa,187,71
1005,Zé Luís,ataque,185,84
1006,Pavel Kadeřábek,central,182,81
1007,Tonny Vilhena,central,175,76
1008,Terence Kongolo,defensa,188,70
1012,Naldo,defensa,188,84
1014,Valentin Eysseric,ataque,181,73
1016,Jordan Veretout,central,176,66
1017,David López,defensa,183,81
1019,Ladislav Krejčí,ataque,180,68
1020,Aïssa Mandi,defensa,184,78
1021,Ismaily,defensa,177,78
1026,Nicolás Blandi,ataque,180,76
1027,Campaña,central,179,72
1031,Dennis Praet,central,181,78
1032,Sergi Gómez,defensa,185,77
1034,Sergio Álvarez,central,182,72
1036,Luis Muriel,ataque,178,79
1040,Florentin Pogba,defensa,189,93
1041,Stefan Bell,defensa,192,88
1043,Benjamin Stambouli,central,180,82
1045,Jens Toornstra,ataque,177,77
1047,Ioannis Fetfatzidis,ataque,165,61
1049,Javi López,defensa,180,76
1050,Andros Townsend,central,181,77
1051,Montoya,defensa,174,72
1052,Shinji Okazaki,ataque,174,70
